iter	Passed	Remaining
444	1838	227
445	1842	223
446	1846	218
447	1849	214
448	1852	210
449	1856	206
450	1859	202
451	1863	197
452	1866	193
453	1869	189
454	1873	185
455	1877	181
456	1880	176
457	1883	172
458	1887	168
459	1890	164
460	1894	160
461	1898	156
462	1901	151
463	1904	147
464	1908	143
465	1911	139
466	1915	135
467	1918	131
468	1922	127
469	1926	122
470	1929	118
471	1932	114
472	1936	110
473	1939	106
474	1943	102
475	1946	98
476	1949	94
477	1953	89
478	1957	85
479	1960	81
480	1963	77
481	1967	73
482	1970	69
483	1974	65
484	1977	61
485	1980	57
486	1984	52
487	1987	48
488	1991	44
489	1994	40
490	1997	36
491	2001	32
492	2005	28
493	2008	24
494	2011	20
495	2015	16
496	2018	12
497	2022	8
498	2025	4
499	2029	0
