iter	Logloss
0	0.423489563
1	0.2896681519
2	0.1862521057
3	0.1403521423
4	0.09735131836
5	0.06971883392
6	0.06103572845
7	0.04984924698
8	0.04521330261
9	0.0369627533
10	0.03173342705
11	0.02778880501
12	0.02443585968
13	0.02201178169
14	0.02038903809
15	0.01941548157
16	0.01818844986
17	0.01747624588
18	0.0170401001
19	0.01642655182
20	0.01582085228
21	0.01534033775
22	0.0146546011
23	0.01409399033
24	0.01390504265
25	0.01371375561
26	0.01337347317
27	0.01304601669
28	0.01299055481
29	0.01276732254
30	0.01250809193
31	0.01201404572
32	0.01175763893
33	0.011655653
34	0.01137290764
35	0.01110457993
36	0.01105207443
37	0.01083837986
38	0.01070041656
39	0.01058391953
40	0.01024180603
41	0.01010526848
42	0.01006745625
43	0.009968952179
44	0.009714823723
45	0.009539977074
46	0.009319589615
47	0.009138914108
48	0.009015748024
49	0.008851377487
50	0.008812483788
51	0.008699718475
52	0.008568847656
53	0.008471822739
54	0.008455417633
55	0.00829883194
56	0.008180490494
57	0.008114850998
58	0.007956681252
59	0.007911890984
60	0.007859846115
61	0.007812787056
62	0.00776279211
63	0.007752789021
64	0.007678768158
65	0.007570148468
66	0.00742504549
67	0.00734854126
68	0.007234526634
69	0.007171021461
70	0.007113358498
71	0.007042180061
72	0.006997720242
73	0.006933169365
74	0.006861606598
75	0.006750174522
76	0.00672896862
77	0.00663043499
78	0.006605289459
79	0.006514665127
80	0.00644483614
81	0.00639953661
82	0.006380242348
83	0.006301292419
84	0.006258797646
85	0.006194514275
86	0.006162624359
87	0.006135293007
88	0.006051291943
89	0.005984981537
90	0.0059104352
91	0.005898106575
92	0.005878546715
93	0.005810572624
94	0.005757763863
95	0.005679750443
96	0.005663122654
97	0.005603736877
98	0.005584306717
99	0.005579897881
100	0.005514838219
101	0.005497657776
102	0.005473256111
103	0.005450714111
104	0.005368788719
105	0.005330534935
106	0.005287835121
107	0.005274060249
108	0.005203651428
109	0.005190096855
110	0.005172029495
111	0.005156766415
112	0.005136469841
113	0.005093883514
114	0.005028523445
115	0.005012813568
116	0.005012782097
